CreatedAtUTC,Stem,SnapshotPath,ContentHash,Rows,FirstDT,LastDT,Source
2026-07-30T23:52:23.222060+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260730_235223_7f14610f79.csv,7f14610f798a161d0861a1f1e3c7adf483a6819bc01703980ac8f635ccb5fca8,18,,,rolling_origin_replay
2026-07-30T23:52:23.263064+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260730_235223_0d7b09f468.csv,0d7b09f4689bcfb1f5e67789a9647529425689706324a66dcde715181c250d55,396,,,rolling_origin_replay
2026-07-30T23:52:23.281574+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260730_235223_231e5220b2.csv,231e5220b2cd447ef9fd7ae1973ee966088326eb6991b2357147e8e3a77ad2de,9,,,rolling_origin_replay
2026-07-30T23:52:23.390095+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260730_235223_7b4096f4ae.csv,7b4096f4aed13f37057e1c0ecc6f9061257e81e44afdcbf7b735f779def341f3,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-31T05:12:21.312882+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260731_051211_343f8fa5b5.csv,343f8fa5b5d1d8106bcddb2e5e7c076b05f3b32e5f41eba39dcb8c1dfe8d7281,8440,2024-10-13T07:00:00+00:00,2026-07-23T06:00:00+00:00,rolling_origin_replay
2026-07-31T05:12:21.799501+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260731_051221_bbd6ea6998.csv,bbd6ea6998d83fb12d67e6e37f1b9f5e8d34263f8672715ae9a931c85da48463,19,,,rolling_origin_replay
2026-07-31T05:12:22.559682+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260731_051222_134ff5da13.csv,134ff5da138267c3e5fb04551042d21446e5ff57a4dd345976790cd33e537417,418,,,rolling_origin_replay
2026-07-31T05:12:22.637689+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260731_051222_4bb5550106.csv,4bb55501068bd01c7ca27e0a34f14324e8fbf2ad9e102db1b4e7c460e928bf6b,9,,,rolling_origin_replay
2026-07-31T05:12:23.100297+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260731_051222_73a0bb7732.csv,73a0bb773293b5e1bb9a54e05d978c58d8e414bf8c502088d9b82d86b48504de,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-31T16:34:15.082583+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260731_163411_4695cb79ff.csv,4695cb79ff245e5711a56bb5dbf1ceb10e19882b9a0bbd11ed6dfb2ed6b50881,8440,2024-10-13T07:00:00+00:00,2026-07-23T06:00:00+00:00,rolling_origin_replay
