Audit,Source,N,Mean_Adjustment_MWH,MeanAbs_Adjustment_MWH,Min_Adjustment_MWH,Max_Adjustment_MWH,Before_MAE_MWH,After_MAE_MWH,Delta_MAE_MWH,Before_RMSE_MWH,After_RMSE_MWH,Delta_RMSE_MWH,Before_Bias_MWH,After_Bias_MWH,Delta_Bias_MWH,Before_P90_AbsError_MWH,After_P90_AbsError_MWH,Delta_P90_AbsError_MWH,Before_P99_AbsError_MWH,After_P99_AbsError_MWH,Delta_P99_AbsError_MWH
focused_guard_source,june_long_mild_hot_peak_backoff+june_long_90_95_cloudy_peak_extra_up,2,-4.0,4.0,-4.0,-4.0,10.635508358025476,10.635508358025476,0.0,14.201191064598316,11.93268028555159,-2.268510779046725,-9.410621107004431,-5.410621107004431,4.0,18.16400524362902,14.964005243629021,-3.1999999999999993,19.857917042889817,15.937917042889818,-3.919999999999998
focused_guard_source,shoulder_heat_days8to16_bias_up,332,1.25,1.25,1.25,1.25,3.891415223916314,3.758869618085835,-0.13254560583047859,5.277907853359442,5.0073478632346635,-0.27055999012477816,1.738111474045006,0.48811147404500577,-1.2500000000000004,8.114051175827198,8.00466718880229,-0.10938398702490737,16.28921457285807,15.039214572858072,-1.25
focused_guard_source,june_days4to7_hot_evening_finish_recovery_up+june_days4to7_clear_98_100_hot_recovery_trim_down,2,-2.0,2.0,-2.0,-2.0,1.326316080826274,0.673683919173726,-0.6526321616525479,1.3901537744881765,0.7919994907944246,-0.5981542836937519,-1.326316080826274,0.673683919173726,2.0,1.6594593369456618,1.006827175293114,-0.6526321616525479,1.734416569572524,1.081784407919976,-0.6526321616525479
focused_guard_source,august_long_95_100_clear_peak_soft_backoff,17,-4.0,4.0,-4.0,-4.0,7.33217200318014,6.3078266797497005,-1.0243453234304392,9.21750454849743,7.232645843937218,-1.9848587045602128,-6.081403024718561,-2.081403024718561,4.0,15.02696555923684,11.02696555923684,-4.0,18.592373328966865,14.592373328966865,-4.0
focused_guard_source,june_recent_100_105_hot_evening_lift,17,3.0,3.0,3.0,3.0,3.3586583048620935,2.190970939060555,-1.1676873658015383,4.030864910922305,2.807514394554347,-1.223350516367958,2.8942891424124704,-0.10571085758752975,-3.0,6.945604928311446,4.529009356904021,-2.4165955714074245,7.5734720080950595,5.337348813523542,-2.236123194571517
focused_guard_source,august_day4to7_highload_peak_up,19,5.0,5.0,5.0,5.0,6.4423011690291,5.075102216491286,-1.367198952537814,7.647744468281816,6.527208917823021,-1.1205355504587953,4.088353919522674,-0.9116460804773262,-5.0,11.942616674123734,8.585419882247162,-3.3571967918765715,13.501656850385864,17.057012819487216,3.5553559691013525
focused_guard_source,shoulder_heat_days8to16_bias_up+may_long_75_85_clear_peak_recovery_up,22,7.25,7.25,7.25,7.25,9.150811775742952,7.7677155740675055,-1.3830962016754462,10.341413948867435,8.90903628710738,-1.4323776617600554,5.526649303229925,-1.723350696770077,-7.250000000000002,14.949871548509364,14.256677626879695,-0.6931939216296694,15.654910223381545,16.90979084219593,1.2548806188143864
focused_guard_source,shoulder_heat_days8to16_bias_up+march_long_65_85_clear_peak_recovery_up,1,7.25,7.25,7.25,7.25,4.354561110719374,2.8954388892806264,-1.4591222214387471,4.354561110719374,2.8954388892806264,-1.4591222214387471,4.354561110719374,-2.8954388892806264,-7.25,4.354561110719374,2.8954388892806264,-1.4591222214387471,4.354561110719374,2.8954388892806264,-1.4591222214387471
focused_guard_source,july_long_95_98_peak_recovery_up,28,8.0,8.0,8.0,8.0,7.904199100043778,6.294775964778735,-1.6094231352650432,8.883208822941391,7.9454362794502025,-0.9377725434911888,4.98634008257377,-3.0136599174262306,-8.0,13.247676942970704,13.802158228082426,0.5544812851117218,14.822664935671044,16.512984894909636,1.6903199592385914
focused_guard_source,june_long_95_100_low_forecast_hot_extra_up,9,2.0,2.0,2.0,2.0,6.247154203519212,4.530493608810143,-1.7166605947090696,7.445662214535252,5.869349963912627,-1.5763122506226255,6.247154203519212,4.247154203519212,-2.0,10.730358572311305,8.730358572311305,-2.0,14.915596792116816,12.915596792116816,-2.0
focused_guard_source,june_long_hot_100_105_core_ramp_up,3,10.0,10.0,10.0,10.0,7.071247468048284,5.238204629218008,-1.8330428388302762,7.517184489322658,7.827653239054047,0.31046874973138916,4.761795370781992,-5.238204629218008,-10.0,8.87983842813686,10.998071523899728,2.118233095762868,8.882872207545354,13.217567483699467,4.334695276154113
focused_guard_source,july_holiday_hot_peak_down,7,-30.0,30.0,-30.0,-30.0,15.930720136984835,14.069279863015169,-1.8614402739696665,16.57287644000027,14.792465152111264,-1.7804112878890077,-15.930720136984835,14.069279863015169,30.000000000000004,20.332061128282977,20.038687944576477,-0.2933731837064997,22.312998640236636,21.81840274006143,-0.4945959001752058
focused_guard_source,july_clear_warm_late_evening_lift,20,3.0,3.0,3.0,3.0,5.639025887672257,3.697742876902582,-1.9412830107696748,6.29339672166115,4.263416912888763,-2.029979808772387,5.071686420518226,2.071686420518226,-3.0,9.972416645943529,6.972416645943529,-3.0,10.757603438504594,7.757603438504595,-2.999999999999999
focused_guard_source,june_recent_100_105_hot_evening_lift+june_long_hot_100_105_peak_finish_up,18,4.5,4.5,4.5,4.5,5.735330848567021,3.5852110966932034,-2.150119751873818,6.709428765242489,4.25077220997388,-2.4586565552686093,5.244152219419681,0.7441522194196813,-4.5,10.023169460427823,6.458643213204683,-3.5645262472231405,12.047939993184189,8.334880898982696,-3.7130590942014923
focused_guard_source,may_long_hot_93_97_down,10,-4.0,4.0,-4.0,-4.0,7.198207063324233,4.826665298114821,-2.371541765209412,8.563637063126146,6.010670329785212,-2.5529667333409343,-6.650965241948441,-2.650965241948441,4.0,13.279551581425524,9.279551581425524,-4.0,14.920841758881517,10.920841758881517,-4.0
focused_guard_source,july_long_95_98_peak_recovery_up+july_long_clear_hot_peak_ramp_up,10,15.0,15.0,15.0,15.0,8.855014311393237,6.144985688606764,-2.7100286227864734,9.742479422853096,7.366510433232203,-2.375968989620893,8.855014311393237,-6.144985688606764,-15.0,12.987188329081931,11.563822746592233,-1.4233655824896978,12.991976942972244,13.055331548022293,0.06335460505004953
focused_guard_source,august_long_95_100_clear_peak_soft_backoff+august_long_clear_hot_rebound_up,2,3.0,3.0,3.0,3.0,12.164367887745755,9.164367887745755,-3.0,12.190427687810615,9.198930366366795,-2.99149732144382,12.164367887745755,9.164367887745755,-3.0,12.801702890804984,9.801702890804984,-3.0,12.94510326649331,9.94510326649331,-3.0
focused_guard_source,june_long_mild_clear_weekend_peak_down,6,-8.0,8.0,-8.0,-8.0,6.884104753446422,3.110693575535104,-3.7734111779113184,7.62754300377675,3.468967601365121,-4.158575402411628,-6.884104753446422,1.1158952465535776,8.0,10.44970365725682,4.746020909651605,-5.703682747605214,11.228028218581004,5.714583595145604,-5.5134446234354
focused_guard_source,august_long_100_plus_peak_finish_up,3,5.0,5.0,5.0,5.0,6.081012644701805,2.1933396165140002,-3.887673028187805,6.471764987141274,2.4644706534608276,-4.007294333680447,6.081012644701805,1.0810126447018054,-5.0,8.235236805227931,3.3376062606945767,-4.897630544533355,8.702920370817576,3.7131573163642404,-4.989763054453336
focused_guard_source,june_long_95_100_low_forecast_hot_extra_up+june_long_98_100_clear_high_state_overstack_backoff,3,-4.0,4.0,-4.0,-4.0,7.354441724598739,3.3544417245987384,-4.0,7.67774970909758,4.014013801515645,-3.663735907581935,-7.354441724598739,-3.3544417245987384,4.0,8.986398842356966,4.986398842356965,-4.000000000000001,9.031259713306126,5.0312597133061265,-3.999999999999999
