ForecastColumn,RankBasis,Month,Forecast_Day_Bucket,Peak_Hour_Band,DailyMaxTempBiasBand,CloudCoverBiasBand,LagAnchorState,N,Residual_Sum_MWH,Positive_Residual_Sum_MWH,Negative_Residual_Sum_MWH,Bias_MWH,MAE_MWH,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Mean_MWH,Forecast_Mean_MWH,Raw_Bias_MWH,Raw_Residual_Sum_MWH,Mean_RawMinusSameHour7_MWH,Mean_Lag24MinusSameHour7_MWH,RMSE_MWH,Abs_Residual_Sum_MWH,Bias_Delta_vs_Raw_MWH
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,5,Days4-7,HE14-15,<75,Overcast,<-10,6,12.54776209791845,15.79850057523636,-3.2507384773179098,2.0912936829864086,3.1748731754257116,66.66666666666666,7.174359806674566,7.473510102455279,2.2952588336474804,126.76392333333332,124.6726296503469,4.684823947622057,28.108943685732342,-30.829180790047843,-30.076046495873005,4.294201554358806,12.54776209791845,-2.5935302646356484
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,4,Days8-16,HE16-18,75-85,Clear/Low,10..25,8,11.997479604280713,16.63265852913979,-4.635178924859076,1.499684950535089,2.658479681749858,75.0,4.661957499087983,8.533977737032899,3.002520254254449,155.08601,153.5863250494649,9.402278514911579,75.21822811929263,14.780582584901042,2.8717780109827356,3.569291696781593,11.997479604280713,-7.90259356437649
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,11,Days4-7,HE14-15,<75,Overcast,-10..10,6,9.325904402416256,10.685757319364512,-1.359852916948256,1.5543174004027094,2.007601706052128,66.66666666666666,4.673596867216531,7.746874262865163,1.1973015924614288,134.2136705,132.6593530995973,5.170879942163874,31.025279652983244,1.9083921747008314,0.2724428536938556,3.3040299403276143,9.325904402416256,-3.616562541761165
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,5,Days8-16,HE16-18,75-85,Clear/Low,10..25,6,9.203085375404754,9.203085375404754,0.0,1.533847562567459,1.533847562567459,100.0,2.5969778472500877,2.998158401108384,-0.4821828894256157,178.01843716666667,176.48458960409923,21.926539161744696,131.55923497046817,19.833294875667196,8.137160845260523,1.7512928939564694,9.203085375404754,-20.392691599177237
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,5,Days8-16,HE14-15,<75,Overcast,-10..10,5,9.179828083439602,26.47563818835623,-17.295810104916626,1.8359656166879206,8.75428965865457,40.0,13.42611273453194,14.179287295947248,8.235398301506052,124.3393732,122.50340758331208,9.414884299072359,47.07442149536179,-5.4929218865982365,-7.629376692545705,9.81792887038351,9.179828083439602,-7.5789186823844386
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,8,Days8-16,HE16-18,100-105,Some/Partly,10..25,8,9.083322508224626,17.083705608989362,-8.000383100764736,1.1354153135280782,3.1355110887192623,62.5,4.819120404941037,3.9319059041142737,6.889287573536819,303.837216625,302.7018013114719,7.944468359976057,63.55574687980845,20.043174570013043,16.517766115028984,3.6595110059971305,9.083322508224626,-6.809053046447978
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,8,Days8-16,HE16-18,100-105,Clear/Low,-10..10,6,8.855549623227603,37.25843041319507,-28.40288078996747,1.4759249372046004,10.943551867193756,50.0,13.42885470214938,14.645505940895134,10.634877999776336,296.3674886666667,294.89156372946206,4.844637016869636,29.067822101217814,-0.4063232937668128,-2.547034572425929,11.15390146799065,8.855549623227603,-3.368712079665036
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,12,Days2-3,HE16-18,<75,Overcast,-10..10,5,8.604428173991579,9.956622563582528,-1.3521943895909487,1.7208856347983157,2.2617633906346954,80.0,2.7792624115538844,2.87997723714426,1.3521943895909487,170.9968194,169.2759337652017,9.445277643698443,47.22638821849222,-0.27280138870207227,-1.8210121792851113,2.3255233076662,8.604428173991579,-7.724392008900127
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,6,Days8-16,HE16-18,85-90,Clear/Low,<-10,9,8.52842877472645,15.65291000420845,-7.124481229482001,0.9476031971918277,2.530821248187828,66.66666666666666,6.090249678381559,6.448064293980764,3.6653385595460577,190.15265977777779,189.20505658058596,-10.15439212480639,-91.38952912325752,-32.651718480826,34.107703893572484,3.3815876907651297,8.52842877472645,11.101995321998219
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,3,Days8-16,HE16-18,<75,Clear/Low,-10..10,7,6.811842738400372,10.133688433620563,-3.3218456952201905,0.9731203912000532,1.9222191612629647,71.42857142857143,2.927736136107848,3.2340031297756013,2.723558140329345,136.10402585714286,135.13090546594282,3.766193634699452,26.363355442896165,5.775569815951924,0.248913110907448,2.10343227933433,6.811842738400372,-2.793073243499399
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,12,Days4-7,HE16-18,<75,Overcast,-10..10,5,6.418928224764329,6.915649168469997,-0.4967209437056681,1.2837856449528657,1.4824740224351332,80.0,2.1189405181362817,2.394834130723524,0.4967209437056681,169.7491796,168.46539395504712,10.528370839949247,52.641854199746234,-1.6473307913820292,-1.3608806138518843,1.6041583593028386,6.418928224764329,-9.24458519499638
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,8,Days8-16,HE16-18,92.5-95,Clear/Low,<-10,5,6.107974426219329,9.317244537251128,-3.209270111031799,1.2215948852438658,2.5053029296565854,80.0,3.157929059398737,3.080917481949143,3.209270111031799,247.42457819999998,246.20298331475615,4.412820383938896,22.06410191969448,-23.763872214111075,-16.143612539217305,2.622921444692203,6.107974426219329,-3.19122549869503
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,7,Days8-16,HE16-18,92.5-95,Clear/Low,<-10,7,5.9968432190948135,14.561136955446244,-8.56429373635143,0.8566918884421162,3.3036329559710964,71.42857142857143,5.294012698360393,5.3993630311497895,5.223779143167462,244.38995557142857,243.53326368298647,1.6639597687748449,11.647718381423914,-34.91236788997032,-10.341497059407889,3.777442800633824,5.9968432190948135,-0.8072678803327287
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,4,Days8-16,HE16-18,75-85,Overcast,-10..10,5,5.926964339746718,14.354439642754016,-8.427475303007299,1.1853928679493435,4.556382989152263,80.0,7.358721399854057,5.755590545124193,8.427475303007299,153.7730814,152.58768853205066,9.509577989045312,47.54788994522656,4.991140388062769,3.0252080810439734,5.276314913406801,5.926964339746718,-8.324185121095969
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,1,Days8-16,HE14-15,<75,Some/Partly,-10..10,7,3.645634982070831,12.146027224863872,-8.50039224279304,0.5208049974386901,2.949488495379559,57.14285714285714,5.708736077688208,8.010236659853192,4.174402356244883,123.61354971428571,123.09274471684702,3.630821318638689,25.415749230470823,-1.9523207142508414,-1.7160105316441505,3.929325944596228,3.645634982070831,-3.110016321199999
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,8,Days8-16,HE16-18,98-100,Clear/Low,<-10,5,1.7485736583537914,5.876825634668535,-4.128251976314743,0.3497147316707583,2.0010155221966555,40.0,3.965100450111777,5.378376176280426,1.845186860858803,269.2494598,268.89974506832925,2.341535714300778,11.707678571503891,-24.44282802613524,-27.014360288527552,2.683129568037664,1.7485736583537914,-1.9918209826300197
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,12,Days4-7,HE14-15,<75,Overcast,-10..10,6,0.15660191316788996,6.019564448909961,-5.862962535742071,0.026100318861314992,1.980421164108672,50.0,3.040148398780687,3.0586176790311868,3.0216791185301872,157.22513983333332,157.19903951447202,14.24983213751546,85.49899282509276,-3.583472303838363,-3.118314198627772,2.173330877147125,0.15660191316788996,-14.223731818654144
