Focused_Scorecard_Guard_Source,N,Actual,Forecast,Bias_ActualMinusForecast,Mean_Error_ForecastMinusActual,MAE,RMSE,P90Abs,MaxUF,MaxOF,AbsErrorSum,OverRate,UnderRate
june_days4to7_hot_peak_recovery_up,3.0,270.941097,289.114232610686,-18.173135610685904,18.173135610685904,18.173135610685904,18.22973524218645,19.634033955990002,-16.675862332166332,20.10887509335288,54.51940683205771,100.0,0.0
june_long_mild_hot_peak_backoff+june_long_90_92_clear_hot_extra_backoff,6.0,204.7887315,197.31952573874182,7.469205761258205,-7.469205761258205,7.469205761258205,8.041152689272899,10.521794228520008,11.228705271960905,-3.279270809323208,44.815234567549226,0.0,100.0
june_long_95_100_evening_recovery_up,7.0,262.4995308571428,268.09576667075663,-5.5962358136137595,5.5962358136137595,5.72323613125347,6.549809956391584,8.423316383354361,0.44450111173898676,12.246727709108029,40.06265291877429,85.71428571428571,14.285714285714285
june_long_mild_hot_peak_backoff,2.0,194.417262,210.71086734906595,-16.293605349065942,16.293605349065942,16.293605349065942,16.3557981157841,17.43358618628774,-14.868629302538693,17.71858139559319,32.587210698131884,100.0,0.0
june_long_mild_hot_peak_backoff+june_long_90_95_cloudy_peak_extra_up,2.0,198.4229205,214.62571926188286,-16.202798761882846,16.202798761882846,16.202798761882846,18.53988949542075,23.411540778488646,-7.191871241125597,25.213726282640096,32.40559752376569,100.0,0.0
june_days4to7_hot_evening_finish_recovery_up,2.0,257.1056705,273.04289308776595,-15.937222587765945,15.937222587765945,15.937222587765945,15.955347845360835,16.545465199604944,-15.176919322967194,16.697525852564695,31.87444517553189,100.0,0.0
july_long_95_98_peak_recovery_up+july_long_clear_hot_peak_ramp_up,4.0,256.83592875,250.0256662002412,6.8102625497587965,-6.8102625497587965,6.8102625497587965,7.308869665571387,8.981916852837632,9.548209271310782,-2.417824440153936,27.241050199035186,0.0,100.0
august_long_clear_hot_high_forecast_backoff+august_long_95_100_clear_peak_soft_backoff,3.0,251.0730136666667,243.92964334482232,7.143370321844363,-7.143370321844363,7.241900452649541,9.236579357613088,12.82887958422221,14.188830586456731,0.14779519620776682,21.725701357948623,33.33333333333333,66.66666666666666
may_days4to7_100plus_peak_recovery_up,6.0,288.645194,287.71252773172415,0.9326662682758334,-0.9326662682758334,3.472036906739504,4.004226506884279,5.407907960034834,3.623257558268392,7.192558361801275,20.832221440437024,33.33333333333333,66.66666666666666
august_long_95_100_clear_peak_soft_backoff+august_long_clear_hot_rebound_up,1.0,268.543858,253.2179588345064,15.32589916549361,-15.32589916549361,15.32589916549361,15.32589916549361,15.32589916549361,15.32589916549361,-15.32589916549361,15.32589916549361,0.0,100.0
shoulder_heat_days8to16_bias_up+may_long_warm_cloudy_peak_recovery_up+may_long_85_93_hot_peak_recovery_up,4.0,244.66893325,246.97847734849728,-2.309544098497284,2.309544098497284,2.309544098497284,2.696449713791314,3.870895385524068,-0.7593140304391,4.499536781713289,9.238176393989136,100.0,0.0
