Stage,ForecastColumn,Replay_Horizon_Bucket,Season,HourGroup,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Days8to16,Fall,Overnight,72,95.04383473611111,91.48234926069142,3.561485475419689,4.102397852886744,4.204790229525603,83.33333333333334,7.287007232939824,10.40931435615363,3.689993194551377,4.8321087958946505
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Days8to16,Winter,Peak,45,146.34350595555557,147.27633245518933,-0.9328264996337958,4.012787961585818,2.7488349438418984,44.44444444444444,7.721632934265455,12.423032786682342,8.963072519979988,4.842549601344213
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Days2to7,Fall,LateEvening,12,117.18098791666667,113.18875855204023,3.9922293646264357,3.9922293646264357,3.3050395478033465,100.0,6.8211035135777465,8.137944725509897,0.0,4.8293459733472
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Days2to7,Winter,Peak,15,149.61462746666666,151.1871520168768,-1.5725245502101208,3.762305267461634,2.544362968656805,26.666666666666668,6.953957362391872,10.530875088348438,8.069394721764638,4.6531769139945345
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Day1,Spring,Morning,28,102.20113775,105.28396673449525,-3.082828984495248,3.471162253063415,3.4457976454396624,10.714285714285714,5.916193155872962,3.550178715391141,8.38345673163964,4.0274922493658005
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Day1,Fall,Peak,20,145.7176839,142.5862380994809,3.1314458005190753,3.4246065494700537,2.371846453116526,80.0,8.419629264371267,10.356729540114685,1.6620204649172194,4.523856763911072
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Days2to7,Winter,LateEvening,9,129.8714811111111,131.53231649021552,-1.6608353791044062,3.369446342283589,2.6928302839057032,22.22222222222222,4.649211342146357,3.962698255506183,7.395263688707047,3.895684277686645
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Days2to7,Fall,Overnight,24,94.85249995833334,92.1734574475005,2.6790425108328253,3.3502856099604297,3.466046421116752,79.16666666666666,5.659319966528508,6.603556670730612,3.375167919066115,3.7927662564441924
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Days8to16,Fall,Morning,48,107.42042897916667,105.17585065758095,2.2445783215857076,3.3062454275675264,2.9887287583488735,70.83333333333334,7.622583137028944,8.754077804243153,3.389311106323049,4.1826337413077095
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Day1,Spring,Overnight,42,96.8493685,100.04316561877938,-3.1937971187793828,3.2460846206990164,3.2918926598202383,4.761904761904762,5.454878810949467,0.5692310321542067,6.832186297057646,3.7028867119159408
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Days8to16,Winter,Morning,36,121.15008255555556,122.48305369736168,-1.3329711418061194,3.229234936002925,2.6771578735070936,36.11111111111111,6.481886909792678,6.568931161208809,9.135491283442263,4.0059842970034865
