Model,Feature,Importance,Importance_Pct
lgb,DOWSin,641.0,0.7286574968739343
lgb,Daily_CDD,624.0,0.7093327270660452
lgb,DOWCos,552.0,0.6274866431738093
lgb,Midday_Overcast_Solar_Loss_MW,517.0,0.5877003523928612
lgb,HDD,514.0,0.5842900988973514
lgb,WeekOfYear,445.0,0.5058542685006252
lgb,BTM_Midday_Impact,329.0,0.37399113334091166
lgb,PrecipIn,323.0,0.367170626349892
lgb,Daily_HDD,211.0,0.23985449585085827
lgb,HeatIndexF,197.0,0.22393997953847902
lgb,Capacity_Ratio_To_Current,196.0,0.2228032283733091
lgb,HeatIndex_CDD,165.0,0.18756394225304082
lgb,IsFriday,157.0,0.17846993293168126
lgb,IsOnPeak,147.0,0.16710242127998182
lgb,CDD_Squared,146.0,0.16596567011481186
lgb,BTM_Solar_Cloud_Adjusted_MW,121.0,0.13754689098556325
lgb,IsOffPeak,95.0,0.10799136069114472
lgb,Month,87.0,0.09889735136978516
lgb,MonthSin,84.0,0.09548709787427533
lgb,Temp_Squared,69.0,0.07843583039672616
lgb,HDD_Squared,64.0,0.07275207457087643
lgb,DailyMaxTempBin,49.0,0.055700807093327274
lgb,Solar_Hour_Shape,40.0,0.04547004660679777
lgb,Rain_x_IsWeekend,36.0,0.040923041946118
lgb,IsSuperPeak,32.0,0.036376037285438215
lgb,Extreme_Heat_90,31.0,0.03523928612026827
lgb,MonthCos,30.0,0.03410253495509833
lgb,Impact_Cap_MW,25.0,0.028418779129248607
lgb,Is_Raining,21.0,0.02387177446856883
lgb,Temp_Bin,15.0,0.017051267477549165
lgb,IsSummerSeason,11.0,0.012504262816869387
lgb,Solar_Evening_Ramp_Flag,7.0,0.00795725815618961
lgb,IsWeekend,6.0,0.006820506991019665
lgb,IsLikelySystemPeakHour,5.0,0.0056837558258497215
lgb,IsMonday,5.0,0.0056837558258497215
lgb,IsWinterSeason,4.0,0.004547004660679777
lgb,IsBusinessDay,2.0,0.0022735023303398884
lgb,Solar_Midday_Flag,1.0,0.0011367511651699442
lgb,Extreme_Heat_95,1.0,0.0011367511651699442
lgb,Extreme_Heat_100,0.0,0.0
lgb,Extreme_Heat_85,0.0,0.0
lgb,Extreme_Heat_80,0.0,0.0
lgb,IsHolidayAdjacent,0.0,0.0
lgb,IsPostHoliday,0.0,0.0
lgb,IsPreHoliday,0.0,0.0
lgb,IsHoliday,0.0,0.0
lgb,FiveMin_Load_Available,0.0,0.0
lgb,FiveMin_Data_Age_Hours,0.0,0.0
lgb,FiveMin_PrevHour_Avg_MW,0.0,0.0
lgb,FiveMin_PrevHour_Max_MW,0.0,0.0
lgb,FiveMin_PrevHour_Min_MW,0.0,0.0
lgb,FiveMin_PrevHour_Last_MW,0.0,0.0
lgb,FiveMin_PrevHour_Range_MW,0.0,0.0
lgb,FiveMin_PrevHour_Ramp_MW,0.0,0.0
lgb,FiveMin_PrevHour_Count,0.0,0.0
lgb,FiveMin_Ramp_15Min_MW,0.0,0.0
lgb,FiveMin_Ramp_30Min_MW,0.0,0.0
lgb,FiveMin_Ramp_60Min_MW,0.0,0.0
catboost,MWH_Lag1,59.65163972585175,59.65163972585176
catboost,MWH_Rolling3,3.2009882127369846,3.2009882127369855
catboost,HourCos,3.1626167268815277,3.1626167268815277
catboost,HeatIndex_CDD,2.699534626210233,2.6995346262102333
catboost,HeatIndexF,2.1688972318928466,2.1688972318928466
catboost,CDD,2.1407779779511604,2.1407779779511604
catboost,Temp_Squared,1.9107372052093965,1.910737205209397
catboost,MWH_SameHour7DayMean,1.878013749542069,1.8780137495420692
catboost,CDD_Squared,1.8714319448147256,1.8714319448147259
catboost,Solar_Hour_Shape,1.5368782523820568,1.536878252382057
catboost,BTM_ClearSky_Proxy_MW,1.3494761072167465,1.3494761072167467
catboost,MWH_Lag24,1.2228472225617606,1.2228472225617606
catboost,Solar_Irradiance,1.1493293028103309,1.1493293028103309
catboost,MWH_Lag48,1.0687927818498575,1.0687927818498577
catboost,Temp_Bin,1.0240762149639808,1.024076214963981
