Stage,ForecastColumn,Replay_Horizon_Bucket,DailyMaxTempBucket,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Day1,5.0,20,1,274.36035,186.786483,87.57386699999998,87.57386699999998,31.919286806566618,100.0,87.57386699999998,87.57386699999998,0.0,87.57386699999998
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Day1,4.0,18,1,245.879683,318.533125,-72.65344199999998,72.65344199999998,29.548371428476255,0.0,72.65344199999998,-72.65344199999998,72.65344199999998,72.65344199999998
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Day1,4.0,20,1,211.188725,281.226108,-70.037383,70.037383,33.16341012049768,0.0,70.037383,-70.037383,70.037383,70.037383
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Day1,4.0,19,1,228.589858,298.436408,-69.84654999999998,69.84654999999998,30.55540198113251,0.0,69.84654999999998,-69.84654999999998,69.84654999999998,69.84654999999998
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Day1,4.0,17,1,258.20405,327.308191,-69.10414100000003,69.10414100000003,26.76338384312718,0.0,69.10414100000003,-69.10414100000003,69.10414100000003,69.10414100000003
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Day1,4.0,16,1,257.144925,326.133816,-68.98889100000002,68.98889100000002,26.82879741842077,0.0,68.98889100000002,-68.98889100000002,68.98889100000002,68.98889100000002
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days8to16,7.0,16,1,318.083608,270.123966,47.95964200000003,47.95964200000003,15.077684229487245,100.0,47.95964200000003,47.95964200000003,0.0,47.95964200000003
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days2to7,4.0,16,3,230.59850500000002,252.64693,-22.04842499999999,42.527424999999994,18.307916520256352,33.33333333333333,58.33927499999998,30.718500000000006,64.94419999999997,45.388084427782815
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days2to7,4.0,17,3,241.77887166666667,264.41766333333334,-22.638791666666652,42.094691666666655,17.343617467787965,33.33333333333333,59.365029999999976,29.183850000000007,66.57497499999997,45.51818422211655
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days2to7,4.0,18,3,242.64348833333335,265.66745533333335,-23.023967,41.125705666666676,16.947011084824368,33.33333333333333,59.51617700000001,27.152608000000015,67.11879200000001,45.05307656096684
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days2to7,4.0,19,3,232.75477766666666,255.33582466666667,-22.581046999999995,39.795919666666656,17.15100672823223,33.33333333333333,57.95340499999999,25.82230899999999,65.40052499999999,43.731313390684285
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days8to16,7.0,17,1,322.500858,285.12635,37.37450799999999,37.37450799999999,11.588963896647988,100.0,37.37450799999999,37.37450799999999,0.0,37.37450799999999
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days8to16,7.0,18,1,323.440566,286.788941,36.65162499999997,36.65162499999997,11.331795962785932,100.0,36.65162499999997,36.65162499999997,0.0,36.65162499999997
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days2to7,4.0,20,3,217.82878000000002,238.424572,-20.595792,34.00975266666668,15.72713750458559,33.33333333333333,51.69870380000001,20.120941000000016,58.86173400000001,38.30013483086854
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days8to16,7.0,19,1,308.640708,275.517725,33.12298300000003,33.12298300000003,10.731890558001192,100.0,33.12298300000003,33.12298300000003,0.0,33.12298300000003
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days8to16,7.0,20,1,288.781933,259.153958,29.627974999999992,29.627974999999992,10.25963594474589,100.0,29.627974999999992,29.627974999999992,0.0,29.627974999999992
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days2to7,5.0,16,2,273.2695455,300.283354,-27.013808499999982,27.013808499999982,9.892629364931688,0.0,36.84098889999998,-14.729832999999985,39.29778399999998,29.675611261762942
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days2to7,6.0,16,4,305.19300375,303.19755175,1.9954519999999718,23.418868500000002,7.781765575916575,50.0,34.07198730000001,30.167940999999985,35.745150000000024,25.812394496755186
baseline_same_hour_yesterday,Baseline_SameHourYesterday_MWH,Days8to16,4.0,17,8,240.16372475,234.27727675,5.886448000000005,23.346202249999994,9.780830312790718,75.0,41.70221449999999,34.948442,57.46101699999997,28.953884221879736
