Slice,SliceGroup,SliceValue,N,RealizedWeather_MAE_MWH,PreviousRunWeather_MAE_MWH,WeatherInput_MAE_Delta_MWH,WeatherInput_MAPE_Delta_PCT,PreviousRunWeather_Bias_MWH,RealizedWeather_Bias_MWH,P90_WeatherInput_AbsError_Delta_MWH,WeatherInput_Harm_Rate_PCT,Forecast_Delta_Bias_MWH,P90_Abs_Forecast_Delta_MWH,Mean_Weather_DailyMaxTemp_Error_F,MAE_Weather_DailyMaxTemp_Error_F,P90_Abs_Weather_DailyMaxTemp_Error_F,Mean_Weather_CloudCover_Error_Norm,MAE_Weather_CloudCover_Error_Norm,P90_Abs_Weather_CloudCover_Error_Norm,Mean_Weather_Solar_Loss_Error_MW,MAE_Weather_Solar_Loss_Error_MW,P90_Abs_Weather_Solar_Loss_Error_MW
HourGroup:Midday,HourGroup,Midday,840.0,7.125852756197159,31.20482803909709,24.07897528289993,10.960223264066235,20.87511767577148,-1.4961179278599188,66.21279974041413,83.80952380952381,-22.3712356036314,74.37739631384157,1.3014285714285712,2.3042857142857143,4.920000000000009,-0.06301190476190477,0.10515476190476192,0.45999999999999996,5.705160752554937,5.999553129874857,12.557194219581602
HourGroup:Morning,HourGroup,Morning,560.0,4.755960212600543,9.702634972983438,4.946674760382893,3.5790785507140663,1.4976360526618213,-1.182891205993753,15.718106608479449,74.28571428571429,-2.6805272586555744,18.713389336488174,1.301428571428571,2.3042857142857143,4.920000000000009,-0.05655357142857143,0.156375,0.6610000000000003,0.7669093595976874,0.8586082423499046,3.4279785420521907
HourGroup:Overnight,HourGroup,Overnight,840.0,3.046359394502587,8.665008130766147,5.6186487362635615,4.256561581631503,3.6425918730378495,-0.8431214509273064,16.883274143463158,76.19047619047619,-4.485713323965155,18.869482640987975,1.3014285714285712,2.3042857142857143,4.920000000000009,-0.014273809523809525,0.1425595238095238,0.73,0.0,0.0,0.0
HourGroup:Peak,HourGroup,Peak,700.0,7.298053591521639,44.959948019522805,37.66189442800117,13.9481906417496,36.948073120149886,-2.3199012530669867,90.36407621750377,84.42857142857143,-39.26797437321687,102.3640328239235,1.3014285714285712,2.3042857142857147,4.920000000000009,-0.05140000000000001,0.13722857142857142,0.7110000000000002,0.5107014734416256,0.5197571031868192,2.751786396470325
Event:cloudy_solar_loss_midday,Weather_Input_Event_Slice,cloudy_solar_loss_midday,427.0,6.422943148013847,22.752977193333287,16.330034045319437,8.531919713126586,12.369546908821757,-1.2775362009636333,44.8721149692151,82.20140515222482,-13.647083109785386,54.543083273507534,1.3346604215456672,2.36744730679157,5.1000000000000085,-0.12203747072599531,0.15988290398126462,0.7340000000000003,5.2172544771007265,5.757320940907156,12.411307819153723
Event:hot_peak,Weather_Input_Event_Slice,hot_peak,620.0,7.777952127791371,48.50819513077623,40.73024300298486,14.75506346874024,41.44063936432919,-2.52162851846042,93.92165170513206,84.51612903225806,-43.96226788278961,106.1616754707534,1.2145161290322577,2.1870967741935483,4.300000000000011,-0.04461290322580646,0.1406451612903226,0.8010000000000003,0.47758272517446665,0.487806823273879,2.7241987617666137
Event:normal,Weather_Input_Event_Slice,normal,1643.0,4.7988643841472545,17.984317215539765,13.185452831392512,6.871058034371073,10.83044833109693,-0.4352908286113421,38.4751649255186,81.07121119902617,-11.265739159708271,45.14766879448838,1.2541083384053557,2.252769324406574,4.799999999999997,-0.03248326232501522,0.12292757151552039,0.5179999999999996,1.3376802728115913,1.3696159835324206,6.454191194188089
Event:shoulder_heat_transition,Weather_Input_Event_Slice,shoulder_heat_transition,10.0,3.971923240416203,11.860469089261382,7.8885458488451805,4.245715002619102,11.022914616534862,-3.971923240416203,18.8925313734009,70.0,-14.994837856951065,23.028701403523993,0.20000000000000284,0.20000000000000284,0.20000000000000284,-0.095,0.095,0.25999999999999995,2.6969714285741935,2.6969714285741935,8.288346296950373
Event:weekend,Weather_Input_Event_Slice,weekend,660.0,4.32935335682945,16.76499150487251,12.435638148043056,6.8206200651197655,9.175549011895182,-2.6560052131117162,39.462981229641144,77.87878787878788,-11.831554225006899,46.23422729425732,1.496060606060606,2.5336363636363632,5.510000000000002,-0.024606060606060597,0.13433333333333333,0.64,1.2585575016433685,1.2821366206286826,5.412677404672882
RiskClass:cloud,Weather_Input_Risk_Class,cloud,351.0,4.58435527432315,17.131661824664253,12.547306550341101,5.826751163841338,11.67442866365355,0.1094024611775976,29.038726464822048,80.91168091168092,-11.565026202475952,31.8326903758755,1.1783475783475774,1.98917378917379,3.5,-0.07145299145299149,0.7647863247863248,1.0,0.10290402539880512,0.16164036409225951,0.5296671582262746
RiskClass:cloud_moderate,Weather_Input_Risk_Class,cloud_moderate,73.0,5.424050890038783,14.003869116599684,8.5798182265609,4.266478196457036,10.985347441489612,-2.261404952961116,21.26944201347991,75.34246575342466,-13.246752394450729,42.164235599833084,0.22191780821917714,1.323287671232877,2.4399999999999995,-0.1684931506849315,0.27369863013698625,0.33,0.027788782461096683,0.10907298280527403,0.47570317271327994
RiskClass:low_weather_error,Weather_Input_Risk_Class,low_weather_error,1192.0,5.165104482049813,18.2467765750499,13.081672093000087,6.062405294423613,12.320076551058762,-2.149892252112456,49.037333065931314,75.92281879194631,-14.469968803171215,54.21264401314351,0.026593959731542743,0.8611577181208052,1.6000000000000085,-0.0022147651006711407,0.01016778523489933,0.030000000000000023,-0.007117273599207175,0.11097128468551758,0.5495137964450585
RiskClass:multi_weather_error,Weather_Input_Risk_Class,multi_weather_error,186.0,6.282509873551509,27.129726792569997,20.847216919018486,9.925489669360967,17.603053470307,-4.736419685660692,56.39359782632616,84.94623655913979,-22.33947315596769,69.03251018605795,3.670967741935484,5.4107526881720425,10.200000000000003,-0.4685483870967742,0.5816666666666667,0.985,5.044585976033751,5.212741089856041,10.307993417742253
RiskClass:solar_loss,Weather_Input_Risk_Class,solar_loss,518.0,7.240881184844214,44.458002161776385,37.217120976932165,15.697586730487789,42.21872498892007,-1.517776749581765,88.32831737049368,90.34749034749035,-43.73650173850184,101.08462476316078,0.6001930501930508,1.8662162162162166,3.9000000000000057,-0.02086872586872587,0.02086872586872587,0.07,8.596628534552499,8.630750819392023,12.891576678061009
RiskClass:solar_loss_moderate,Weather_Input_Risk_Class,solar_loss_moderate,52.0,6.351047696183211,32.64612865408268,26.29508095789948,10.784853338445613,30.18679401687918,-0.758791057015223,83.2601251331506,82.6923076923077,-30.945585073894406,83.93049682522681,-0.08461538461538473,1.2923076923076915,2.7799999999999967,-0.016346153846153847,0.016346153846153847,0.008999999999999985,1.7723402732726343,2.1403133609893508,2.7664822232172557
RiskClass:temp,Weather_Input_Risk_Class,temp,213.0,3.848124500384989,19.793363027594957,15.94523852720997,8.983200013045977,-5.814251140644225,0.021726003698872075,40.55947948382704,87.32394366197182,5.835977144343097,53.29563403005214,6.5788732394366205,6.631455399061034,10.200000000000003,-0.015352112676056335,0.03215962441314554,0.1280000000000001,0.1119780397600828,0.18142775421712348,0.6730255315656449
RiskClass:temp_moderate,Weather_Input_Risk_Class,temp_moderate,775.0,5.3102663569303905,22.900286155275165,17.590019798344777,8.50287632584066,12.742683457120044,-0.29086111937963244,54.69483037383158,81.16129032258065,-13.033544576499676,61.8128518990107,1.962193548387097,3.184903225806452,4.200000000000003,-0.010619354838709677,0.025561290322580647,0.09,0.054544015362653624,0.12523893751910867,0.5396846912121288
DailyMaxTempError:0-2F,Weather_DailyMaxTemp_AbsError_Bucket,0-2F,1824.0,5.274121075017078,21.930311130627917,16.65619005561084,7.586386360238437,16.84162014155595,-2.3768186743796313,58.82745344108651,79.49561403508771,-19.21843881593558,68.43653576960311,0.03026315789473606,0.8986842105263156,1.7000000000000028,-0.010520833333333335,0.11034539473684213,0.47,1.6005287850578003,1.710616863248483,8.106481626317834
