DT,Month,Season,Hour,Actual_MWH,Final_Backtest_Forecast_MWH,Final_Residual_MWH,Final_AbsError_MWH,Overforecast_MWH,Raw_Forecast_MWH,XGB_Pred_MWH,LGB_Pred_MWH,CatBoost_Pred_MWH,Temperature,Temperature_DailyMax,TempBucket,CloudCover_Norm,CloudBucket,BTM_Solar_Proxy_MW,BTM_Solar_Loss_From_ClearSky_MW,Midday_Overcast_Solar_Loss_MW,Stage_Selector_Source,Stage_Selector_Reason,Recent_Correction_Source,Pre_Focused_Guard_Forecast_MWH,Focused_Scorecard_Guard_MWH,Focused_Scorecard_Guard_Source
2026-06-04 15:00:00-07:00,6,Summer,15,230.85115,240.99811434446408,-10.146964344464068,10.146964344464068,10.146964344464068,251.04217115532668,248.7667236328125,252.27391371251304,249.75670357189503,93.3,94.5,90-95,0.0,clear<=0.2,16.044331584012287,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,240.99811434446408,0.0,none
2026-05-22 18:00:00-07:00,5,Spring,18,236.710883,246.75814258585447,-10.047259585854476,10.047259585854476,10.047259585854476,249.3889287216712,251.31097412109372,246.93979455288024,252.6884123013649,90.0,91.6,90-95,0.0,clear<=0.2,1.4011679191353026e-15,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,244.75814258585447,2.0,shoulder_heat_days2to7_bias_up
2026-05-22 14:00:00-07:00,5,Spring,14,191.289366,201.06817473897104,-9.778808738971035,9.778808738971035,9.778808738971035,207.09809629047496,205.9888458251953,208.00812893901863,205.9849736899862,88.0,91.6,90-95,0.0,clear<=0.2,20.401176369778963,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,199.06817473897104,2.0,shoulder_heat_days2to7_bias_up
2026-06-11 16:00:00-07:00,6,Summer,16,281.60275,291.2852705576534,-9.68252055765339,9.68252055765339,9.68252055765339,297.23854082574155,293.7693176269531,298.7747771201324,295.81566184849544,100.1,100.1,100-105,0.0,clear<=0.2,10.104566561541647,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup,291.2852705576534,0.0,none
2026-06-23 20:00:00-07:00,6,Summer,20,233.721,243.37740468472992,-9.65640468472992,9.65640468472992,9.65640468472992,246.2863383221308,243.6942443847656,246.02284111293463,247.441003632972,87.3,95.0,90-95,0.0,clear<=0.2,0.0,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,243.37740468472992,0.0,none
2026-06-03 13:00:00-07:00,6,Summer,13,173.149283,182.6518245043485,-9.5025415043485,9.5025415043485,9.5025415043485,190.45773412774335,190.54722595214844,190.73827123004523,189.99132101715324,85.8,93.3,90-95,0.0,clear<=0.2,22.987219698657945,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,182.6518245043485,0.0,none
2026-06-23 13:00:00-07:00,6,Summer,13,169.602,179.01899684580133,-9.416996845801322,9.416996845801322,9.416996845801322,188.2432327933969,189.2883758544922,188.1747998267917,188.052158009178,86.5,95.0,90-95,0.0,clear<=0.2,22.94068686525985,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,179.01899684580133,0.0,none
2026-06-05 14:00:00-07:00,6,Summer,14,229.425308,238.82155963438456,-9.396251634384583,9.396251634384583,9.396251634384583,249.5322379898424,245.9551696777344,250.70520609773567,248.71102190946945,94.3,96.8,95-100,0.17,clear<=0.2,20.65149755223024,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,238.82155963438456,0.0,none
2026-06-23 18:00:00-07:00,6,Summer,18,259.82,269.1985144189489,-9.378514418948896,9.378514418948896,9.378514418948896,271.7260616664743,273.64031982421875,273.2280123047332,268.8189226184261,94.0,95.0,90-95,0.0,clear<=0.2,1.519161007062486e-15,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,269.1985144189489,0.0,none
2026-06-13 17:00:00-07:00,6,Summer,17,305.364483,314.4907746447846,-9.1262916447846,9.1262916447846,9.1262916447846,317.7941408310648,316.5246276855469,316.91163093967486,319.5436601305397,101.4,101.7,100-105,0.01,clear<=0.2,4.264204814648444,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,314.4907746447846,0.0,none
2026-06-03 14:00:00-07:00,6,Summer,14,192.374825,201.44466456591212,-9.069839565912162,9.069839565912162,9.069839565912162,209.81059094965903,210.1452178955078,211.12497123640307,207.6495285145331,89.2,93.3,90-95,0.0,clear<=0.2,20.672357650767847,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,201.44466456591212,0.0,none
2026-05-23 19:00:00-07:00,5,Spring,19,182.135616,191.1020284663858,-8.966412466385805,8.966412466385805,8.966412466385805,193.4112243057409,191.85430908203125,192.692505906404,194.98547185433011,80.2,85.3,80-90,0.0,clear<=0.2,0.0,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,189.1020284663858,2.0,shoulder_heat_days2to7_bias_up
2026-06-09 17:00:00-07:00,6,Summer,17,208.519,217.43512230886463,-8.91612230886463,8.91612230886463,8.91612230886463,224.25646274744332,220.8968505859375,223.1592072320265,226.9406106035286,84.8,84.8,80-90,0.0,clear<=0.2,4.226799509256791,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,217.43512230886463,0.0,none
