ErrorType,Rank,IntervalStartDT,HE,Actual_MW,Forecast_MW,BaseForecast_MW,ActualReadCount,Error_MW,AbsError_MW,Underforecast_MW,Overforecast_MW,WeatherGHI_Wm2,GHI_kWh_per_m2,ClearSkyGHI_Wm2,ClearSkyIndex,CloudCoverPct,CloudCoverLowPct,CloudCoverMidPct,CloudCoverHighPct,PerformanceRatio,ResidualCalibrationFactor,SeasonalCalibrationFactor,RegimeCalibrationFactor,PeakCalibrationFactor,TotalCalibrationFactor,ActualQualityFlag,SolarBacktestExcluded,ActualToExpectedRatio,ActualQualityExpected_kWh,ActualQualitySuspiciousHour,ActualReadCoverageRatio,ForecastSource
Underforecast,14,2026-03-03 09:00:00,10,14.54911601,8.5470488638272,5.896722353168674,,-6.0020671461728,6.0020671461728,6.0020671461728,-6.0020671461728,73.76872138338108,0.0737687213833811,427.04128881407996,0.17274376814532705,89.19952329344991,89.19952329344991,0.0,0.0,1.064419501038158,1.4601343779366702,0.9919267716719791,1.0,1.0,1.4483463797139946,,,,,,,backtest_calibrated
Underforecast,15,2026-05-27 14:00:00,15,24.779278610000002,18.78482920544974,18.724810260344857,,-5.994449404550263,5.994449404550263,5.994449404550263,-5.994449404550263,823.5813189222935,0.8235813189222935,951.5575706759874,0.8655086610652685,99.52911162356607,45.266363495108244,88.23394635200525,94.59789979614375,0.39336496224275,0.994575997051247,0.9970898017447253,1.0099894936859148,1.0,1.0015879806388983,,,,,,,backtest_calibrated
Underforecast,16,2026-02-28 10:00:00,11,17.796425,11.815911473293806,12.315291268427874,,-5.9805135267061935,5.9805135267061935,5.9805135267061935,-5.9805135267061935,199.6024213307547,0.19960242133075468,552.6332451684658,0.36118424484199735,91.91177774521135,0.0,91.41814306413718,40.82917809733243,0.8051065987828198,0.9796660038839533,1.0050180479883204,0.9734690044495896,1.0,0.9584733731421212,,,,,,,backtest_calibrated
Underforecast,17,2026-02-28 08:00:00,9,5.959561,0.12365548269144255,0.1208115498599632,,-5.835905517308557,5.835905517308557,5.835905517308557,-5.835905517308557,2.06126527202766,0.00206126527202766,231.2916245047077,0.008911975418226635,99.35382846500421,0.0,78.81660190989219,98.24417696872308,0.9460497326014432,1.0218134608368175,1.0050180479883204,1.0,1.0,1.0269409698184082,,,,,,,backtest_calibrated
Underforecast,18,2026-04-22 11:00:00,12,15.849376340000001,10.015043928698875,6.442454028301168,,-5.834332411301126,5.834332411301126,5.834332411301126,-5.834332411301126,98.81919104006558,0.09881919104006558,811.825126905325,0.12172472588618197,87.24257404693073,9.25487303428613,87.24257404693073,0.0,1.0128434767211862,1.5406406324522213,1.0089658152722663,1.0,1.0,1.5544537317637355,,,,,,,backtest_calibrated
Underforecast,19,2026-04-09 14:00:00,15,27.450720999999998,21.791134837108764,22.048794706974718,,-5.659586162891234,5.659586162891234,5.659586162891234,-5.659586162891234,792.8569548517144,0.7928569548517144,844.940014019129,0.9383588677263952,96.9281484163573,4.232330450258987,12.138303206802492,96.05930610333519,0.4448631988425587,0.9702011132706312,1.0089658152722663,1.0099894936859148,1.0,0.988678470173147,,,,,,,backtest_calibrated
Underforecast,20,2025-10-03 14:00:00,15,20.153985000000002,14.495259417994458,11.847669939550782,,-5.658725582005545,5.658725582005545,5.658725582005545,-5.658725582005545,273.5472306771543,0.27354723067715425,704.7640295027774,0.38814017064711204,33.27748845115304,8.862288824193449,29.754246227107494,2.9555688607530732,0.7307206967801448,1.2289465889965765,1.0202587765486206,0.9749745088694678,1.0,1.2224654928604866,,,,,,,backtest_calibrated
Underforecast,21,2025-11-08 11:00:00,12,19.50955,13.886093514070387,13.121681555754055,,-5.623456485929614,5.623456485929614,5.623456485929614,-5.623456485929614,279.2797577193032,0.27927975771930313,553.2413212024223,0.5048063964425374,99.99999999999999,99.99999999999999,0.0,0.23544418821696503,0.624071674996594,1.0460315895612013,1.0014685557041578,1.009665880409739,1.0,1.0576934097651653,,,,,,,backtest_calibrated
Underforecast,22,2025-11-09 08:00:00,9,5.831360000000001,0.20792832572077377,0.12737315408042138,,-5.623431674279227,5.623431674279227,5.623431674279227,-5.623431674279227,2.0,0.002,211.84822671949524,0.00944072098676647,37.85804217125514,37.31619990983743,0.0,0.5418422614177226,1.038701187678043,1.6360086426562428,1.0014685557041578,1.0,1.0,1.638411212480467,,,,,,,backtest_calibrated
Underforecast,23,2026-05-03 12:00:00,13,23.80988766,18.22884354406698,20.224122907857726,,-5.581044115933022,5.581044115933022,5.581044115933022,-5.581044115933022,672.0656037309341,0.6720656037309339,922.4810206221706,0.7285413886105289,99.99999999999999,0.8085881841350455,4.958447603190792,99.99999999999999,0.4971044294954922,0.9092439342261716,0.9970898017447253,0.9943115472291554,1.0,0.9014407150398842,,,,,,,backtest_calibrated
