Season,Month,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
Summer,8,13,9,240.8981324074074,221.55510317061464,19.343029236792777,19.343029236792777,7.925602832893372,100.0,30.40724325078571,31.470256253122727,0.0,20.431296167201065
Summer,7,14,31,220.68406058064517,201.89506020877462,18.789000371870525,18.789000371870525,8.458234916362539,100.0,29.002112433484342,36.68011076903551,0.0,20.40152448554523
Summer,7,20,31,248.57823029032258,231.08161048811618,17.496619802206396,17.6342096512655,7.053040727024717,96.7741935483871,28.590410315766718,31.3297327827446,2.1326426604161384,18.952882465325544
Summer,6,18,6,213.80184533333332,196.17370678855113,17.62813854478222,17.62813854478222,8.255907243414592,100.0,24.942905677907603,26.330715986153905,0.0,18.903320054782885
Summer,6,19,6,210.0077663333333,192.98940426792623,17.0183620654071,17.0183620654071,8.069877960066657,100.0,24.89860542241516,26.78573430596674,0.0,18.43396788108755
Summer,6,17,6,209.06671766666668,192.49493455842966,16.571783108237025,16.571783108237025,7.958752663900669,100.0,22.821362529423297,23.046365803107847,0.0,17.407986821969917
Summer,7,21,31,228.16081019354837,212.00531430585085,16.15549588769756,16.286707819250086,7.085047930397538,96.7741935483871,24.76599835479169,29.08760804401635,2.0337849390641907,17.413252580661215
Summer,8,0,9,182.04000740740742,165.98733036098062,16.05267704642678,16.05267704642678,8.924037324151808,100.0,22.592737126694534,24.261309766068848,0.0,16.868159226002323
Summer,7,13,31,199.55624370967743,184.37203512114857,15.184208588528865,15.184208588528865,7.552515290306557,100.0,26.836575950615327,31.22299710170242,0.0,17.266208747255316
Summer,8,12,9,215.23195555555557,200.59876698250855,14.633188573047002,14.633188573047002,6.658628355250982,100.0,26.076097317991902,28.08148713253712,0.0,16.637084041109276
Summer,7,22,31,201.52494132258064,187.25374736881795,14.271193953762708,14.351596316994177,7.108652278297487,96.7741935483871,20.822227959891592,23.876959346912088,1.2462366300877932,15.224543065302676
Summer,6,22,6,167.188233,152.9088738797752,14.279359120224782,14.279359120224782,8.484318909733563,100.0,19.160381837378324,19.59702042159276,0.0,15.130985781553179
Summer,6,20,6,198.98175233333333,184.9326073894782,14.049144943855154,14.049144943855154,6.970658988022714,100.0,22.034621139408245,23.522511190362394,0.0,15.49799825232748
Summer,6,23,6,148.57712583333333,135.1107347005094,13.466391132823924,13.466391132823924,9.032000352284644,100.0,16.876389380696722,17.495695326980183,0.0,13.949186680391774
Summer,6,21,6,185.97534983333333,172.58540984396208,13.389939989371252,13.389939989371252,7.111205258254739,100.0,19.833936603691512,20.81728041906416,0.0,14.798466949533827
Summer,7,23,31,177.37124948387097,164.12318542042942,13.248064063441564,13.307619196557287,7.533241383082745,96.7741935483871,17.853829126378287,22.54896524104967,0.9231045632936912,13.999555456937179
