Stage,ForecastColumn,Date,PeakWindowName,PeakHours,Season,Actual_Peak_DT,Actual_Peak_Hour,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,Forecast_Peak_DT,Forecast_Peak_Hour,Forecast_Peak_MWH,Daily_Peak_Timing_Error_Hours,Daily_Energy_Actual_MWH,Daily_Energy_Forecast_MWH,Daily_Energy_Error_MWH,Daily_MAE_MWH,Daily_MAPE_PCT,DailyMaxTempBucket,Temperature_DailyMax,CloudCoverBucket,BTMSolarBucket,SolarLossBucket
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-17,all_hours,all,Summer,2026-07-17 17:00:00-07:00,17,270.739725,249.19565324290102,21.544071757099005,2026-07-17 17:00:00-07:00,17,249.19565324290102,0.0,4282.751558,4104.332881282033,-178.41867671796717,7.953976916304335,3.905095187504063,5.0,95.5,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-01,all_hours,all,Summer,2026-07-01 18:00:00-07:00,18,246.635758,225.34935173367148,21.286406266328527,2026-07-01 18:00:00-07:00,18,225.34935173367148,0.0,3902.250341,3615.495886199894,-286.75445480010603,11.948102283337755,7.563463330865537,4.0,90.1,Some Clouds,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-02,all_hours,all,Summer,2026-07-02 18:00:00-07:00,18,232.3166,211.22278448611783,21.093815513882163,2026-07-02 18:00:00-07:00,18,211.22278448611783,0.0,3740.933686,3469.5143748979435,-271.4193111020563,11.309137962585694,7.374743625041921,3.0,89.3,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-16,all_hours,all,Summer,2026-07-16 17:00:00-07:00,17,290.101483,269.2806654287077,20.820817571292253,2026-07-16 17:00:00-07:00,17,269.2806654287077,0.0,4721.518459,4529.811598758972,-191.70686024102815,8.23512758341842,3.7304059445884614,5.0,98.4,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-12,all_hours,all,Summer,2026-07-12 18:00:00-07:00,18,233.890866,213.96720408829455,19.923661911705437,2026-07-12 18:00:00-07:00,18,213.96720408829455,0.0,4089.0465430000004,3706.2607683398887,-382.78577466011166,15.949407277504642,9.192523341667895,4.0,91.5,Overcast,Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-06-27,all_hours,all,Summer,2026-06-27 19:00:00-07:00,19,182.002916,162.8111125212893,19.19180347871071,2026-06-27 19:00:00-07:00,19,162.8111125212893,0.0,3188.057335,2909.3748793502264,-278.6824556497736,11.611768985407224,8.733292849995228,2.0,79.9,Clear/Low,Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-06-28,all_hours,all,Summer,2026-06-28 19:00:00-07:00,19,193.6332,176.38557288009446,17.24762711990553,2026-06-28 19:00:00-07:00,19,176.38557288009446,0.0,3273.024552,2997.177957549128,-275.84659445087163,11.493608102119643,8.343887951406897,3.0,85.9,Clear/Low,Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-07,all_hours,all,Summer,2026-07-07 18:00:00-07:00,18,224.939866,207.79007598606165,17.149790013938343,2026-07-07 18:00:00-07:00,18,207.79007598606165,0.0,3635.264924,3370.3844834875563,-264.8804405124438,11.036685021351815,7.508614120311425,3.0,88.2,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-04,all_hours,all,Summer,2026-07-04 18:00:00-07:00,18,250.877566,238.58559984685095,12.291966153149048,2026-07-04 18:00:00-07:00,18,238.58559984685095,0.0,4091.4644310000003,3710.6631942535673,-380.801236746433,16.03620027602338,9.927150109932464,5.0,95.5,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-06-25,all_hours,all,Summer,2026-06-25 18:00:00-07:00,18,228.625891,218.98485342048,9.641037579520003,2026-06-25 18:00:00-07:00,18,218.98485342048,0.0,2106.382336,2041.8623504406883,-64.51998555931186,5.8654532326646835,3.009652650795458,4.0,90.3,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-06-26,all_hours,all,Summer,2026-06-26 18:00:00-07:00,18,197.394033,189.6984808563538,7.695552143646211,2026-06-26 18:00:00-07:00,18,189.6984808563538,0.0,3388.5666069999997,3243.660094379655,-144.90651262034453,6.751954089682013,4.8239625137196835,2.0,84.7,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-13,all_hours,all,Summer,2026-07-13 16:00:00-07:00,16,258.689875,257.517889953118,1.1719850468819573,2026-07-13 17:00:00-07:00,17,263.031552760922,1.0,4780.523741999999,4598.137545151232,-182.3861968487672,9.741932611791983,5.291805955149765,5.0,99.1,Mostly Cloudy,Medium-Low,None
