Focused_Scorecard_Guard_Source,N,Final_Bias_ActualMinusForecast_MWH,Final_MAE_MWH,Final_MaxUnder_MWH,Final_MaxOver_MWH,Raw_Bias_ActualMinusForecast_MWH,Final_Correction_From_Raw_MWH,Focused_Guard_Delta_MWH
july_long_95_98_peak_recovery_up,11,1.4191892448744274,6.2526551559275845,10.947091882102995,12.4384913504052,18.03950187478695,16.620312629912522,8.0
june_long_hot_100_105_peak_finish_up,18,5.769874774421172,6.018668063397769,10.209612665959696,2.239139600789372,3.5083716606582254,-2.2615031137629464,1.5
august_long_95_100_clear_peak_soft_backoff+august_long_95_98_high_state_rebound_up+august_long_clear_hot_rebound_up,1,5.325899165493581,5.325899165493581,5.325899165493581,0.0,17.602264377748412,12.27636521225483,13.000000000000028
july_long_mild_hot_peak_soft_down,10,-3.742185970913346,5.122231958295311,2.0947609870915755,16.83912753667269,2.8097102038515773,6.551896174764932,-1.0
june_long_95_100_low_forecast_hot_extra_up,13,2.3871367487019395,4.97332139722303,12.411346880655202,7.136128878135168,0.447303524564426,-1.9398332241375114,2.0
august_day4to7_highload_peak_up,12,2.076750923063775,4.882433303799213,13.610605261646867,7.490442190711349,8.828707966598666,6.751957043534901,5.0
july_long_mild_hot_peak_soft_down+july_long_92_95_clear_high_state_hot_recovery_up,5,4.780418822781212,4.794862493616597,10.66733138062952,0.0361091770884627,17.477226730216245,12.696807907435034,5.0
none,233,3.0267081926277597,4.729126696990363,15.278043151952488,11.100505107016772,2.4932267269904576,-0.5334814656372989,0.0
june_days4to7_hot_peak_recovery_up+june_days4to7_clear_98_100_hot_recovery_trim_down,3,-4.173135610685904,4.173135610685904,0.0,6.108875093352879,-5.235977088419513,-1.0628414777336086,0.0
june_long_90_95_cloudy_peak_extra_up,3,4.117645849997928,4.117645849997928,5.347130668051307,0.0,6.6644948636101065,2.5468490136121886,6.0
shoulder_heat_days8to16_bias_up+may_long_warm_cloudy_peak_recovery_up+may_long_85_93_hot_peak_recovery_up,4,-4.0955385711713745,4.0955385711713745,0.0,4.973294298731048,19.960241967905432,24.055780539076807,21.25
august_long_clear_hot_high_forecast_backoff+august_long_95_100_clear_peak_soft_backoff+august_long_95_97_low_state_he17_18_rebound_up,2,3.7889530808704284,3.7889530808704284,7.188830586456732,0.0,-15.671214093559442,-19.46016717442987,-22.0
august_long_100_plus_peak_finish_up,6,2.3173028150575212,3.6684119391248466,5.685341405856832,4.053327372201977,9.578457218874169,7.261154403816657,5.0
may_days4to7_100plus_peak_recovery_up,6,0.9326662682758333,3.472036906739504,3.623257558268392,7.192558361801275,6.6407892211143364,5.708122952838504,8.0
august_long_95_100_clear_peak_soft_backoff+august_long_95_98_high_state_rebound_up,9,3.336985173465586,3.336985173465586,9.235739550543371,0.0,8.939752637533312,5.6027674640677265,5.999999999999994
august_long_95_100_clear_peak_soft_backoff,11,1.3261412737352032,2.849343533645928,6.721923297178762,4.082593230121688,-0.16228668982160405,-1.4884279635568098,-4.0
june_days4to7_hot_evening_finish_recovery_up+june_days4to7_clear_98_100_hot_recovery_trim_down,2,-1.9372225877659588,1.9372225877659588,0.0,2.697525852564695,-5.0497686492236085,-3.112546061457664,-2.0
july_holiday_hot_peak_down,5,0.5761623399645203,1.674852768836098,2.6941805559550858,2.624020479584857,-31.806360006163295,-32.382522346127814,-30.0
june_long_98_100_clear_high_state_overstack_backoff,2,-1.305315317543517,1.305315317543517,0.0,1.328724673328395,-12.426418541346848,-11.121103223803331,-6.0
june_long_95_100_low_forecast_hot_extra_up+june_long_98_100_clear_high_state_overstack_backoff,3,-0.44968074470278907,1.2034430310054631,1.0316413786818828,2.4796856635623783,-9.12367150322016,-8.673990758517371,-4.0
august_long_clear_hot_high_forecast_backoff+august_long_95_100_clear_peak_soft_backoff,1,-0.1477951962077668,0.1477951962077668,0.0,0.1477951962077668,-26.493178075923765,-26.345382879716,-29.0
