combo,overall_mae,overall_bias,hot_mae,hot_bias,peak_mae,last45_mae,days47_mae,cloud_mae,shoulder_mae,all_pass,pass_like
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-12|july_90_95_low_state_backoff-15,3.689477082923319,0.576002631528182,5.369120524320989,1.9209109451600772,5.061183216322682,2.8332822539136666,3.465967518701106,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-14,3.6895331259229986,0.5558203398615154,5.370121478361779,1.5604458288810075,5.061190624441909,2.8332822539136666,3.4695495077971996,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|june_evening_combo_trim-8,3.6895743437548862,0.5636328398615154,5.370857648010382,1.6999807126019377,5.076190624441908,2.8332822539136666,3.489189413619591,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|june_evening_combo_trim-6,3.6895743437548862,0.5558203398615154,5.370857648010382,1.5604458288810075,5.083690624441909,2.8332822539136666,3.489189413619591,5.083889689101491,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|july_95_98_low_state_cancel_recovery-8|aug_95_98_high_state_rebound8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-12,3.689679295315641,0.5636328398615154,5.3727321317001495,1.6999807126019377,5.061190624441909,2.8332822539136666,3.465967518701106,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-12|july_90_95_low_state_backoff-12,3.6896846424568355,0.570924506528182,5.372827634128921,1.8302132707414727,5.0621795020835645,2.8332822539136666,3.465967518701106,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|june_evening_combo_trim-6,3.689834760421553,0.5597265898615154,5.3755088108010805,1.6302132707414727,5.0799406244419085,2.8332822539136666,3.4943977469529246,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-14|june_evening_combo_trim-6,3.689926467956281,0.5597265898615154,5.377146750025988,1.6302132707414727,5.077298013222194,2.8332822539136666,3.4643411744638666,5.0733841080115365,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_90_95_down-8,3.6899397119823076,0.5571224231948487,5.377383294490848,1.5837016428344959,5.064940624441908,2.8332822539136666,3.477425852034439,5.077323700920269,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-12,3.6899397119823076,0.554518256528182,5.377383294490848,1.5371900149275193,5.064940624441908,2.8332822539136666,3.4711758520344396,5.076010503284025,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_90_95_down-8,3.6902001286489745,0.5532161731948487,5.382034457281545,1.5139342009740309,5.068690624441908,2.8332822539136666,3.472217518701106,5.078636898556514,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|july_90_95_low_state_backoff-15|sep_d4_7_cloudy_90_95_down-10,3.690258332923319,0.5747005481948487,5.383074012693082,1.897655131206589,5.064933216322682,2.8332822539136666,3.469092518701106,5.076010503284025,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|july_95_98_low_state_cancel_recovery-8|aug_95_98_high_state_rebound8|june_d4_7_98_100_hot_trim-14|july_90_95_low_state_backoff-15,3.6902808726626137,0.5812109648615154,5.383476582920499,2.0139342009740306,5.063825827542397,2.8332822539136666,3.489189413619591,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-12|june_evening_combo_trim-6,3.690333054015591,0.558424506528182,5.3844085661550585,1.6069574567879843,5.081048013222194,2.8332822539136666,3.465967518701106,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-14|july_90_95_low_state_backoff-15,3.690372580197342,0.576002631528182,5.385114522145408,1.9209109451600772,5.061183216322683,2.8332822539136666,3.4695495077971996,5.0733841080115365,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|july_95_98_low_state_cancel_recovery-8|aug_95_98_high_state_rebound8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_90_95_down-10,3.690460545315641,0.562330756528182,5.386685620072242,1.6767248986484493,5.064940624441908,2.8332822539136666,3.469092518701106,5.076010503284025,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_90_95_down-10|july_90_95_low_state_backoff-12,3.6904658924568357,0.5696224231948487,5.386781122501014,1.8069574567879843,5.065929502083565,2.8332822539136666,3.469092518701106,5.076010503284025,4.37010182312897,True,True
