Month,Hour,N,Bias_Delta_F,Bias_Std_F,Month_Count,Month_Delta_F,Global_Delta_F,Bias_Source,Applied_Delta_F
3,18,217,1.5914185391705067,2.283085110475771,5199,2.7036472360069244,1.7938864215061423,month_hour,1.5914185391705067
3,19,217,3.38880634562212,2.9005561232192782,5199,2.7036472360069244,1.7938864215061423,month_hour,3.38880634562212
3,20,217,3.963597465437788,2.933954198296453,5199,2.7036472360069244,1.7938864215061423,month_hour,3.963597465437788
3,21,217,3.453151783410138,2.675624639198369,5199,2.7036472360069244,1.7938864215061423,month_hour,3.453151783410138
3,22,217,3.2636327142857144,2.4353360385561507,5199,2.7036472360069244,1.7938864215061423,month_hour,3.2636327142857144
3,23,217,3.156224147465438,2.1303718811508454,5199,2.7036472360069244,1.7938864215061423,month_hour,3.156224147465438
4,0,210,2.6009966809523815,2.187929930650765,5040,2.5162661930555554,1.7938864215061423,month_hour,2.6009966809523815
4,1,210,2.6768582047619045,2.101328089815463,5040,2.5162661930555554,1.7938864215061423,month_hour,2.6768582047619045
4,2,210,2.7276093238095243,2.1320395053674814,5040,2.5162661930555554,1.7938864215061423,month_hour,2.7276093238095243
4,3,210,2.7867489,2.208339244077193,5040,2.5162661930555554,1.7938864215061423,month_hour,2.7867489
4,4,210,2.7692175476190477,2.240400267799823,5040,2.5162661930555554,1.7938864215061423,month_hour,2.7692175476190477
4,5,210,2.2937879142857143,2.0566342500719306,5040,2.5162661930555554,1.7938864215061423,month_hour,2.2937879142857143
4,6,210,2.4183771476190477,2.1348784113356607,5040,2.5162661930555554,1.7938864215061423,month_hour,2.4183771476190477
4,7,210,3.2536459333333334,2.254210049542442,5040,2.5162661930555554,1.7938864215061423,month_hour,3.2536459333333334
4,8,210,3.378327185714286,2.4851427990070567,5040,2.5162661930555554,1.7938864215061423,month_hour,3.378327185714286
4,9,210,3.4303201476190472,2.481120006773685,5040,2.5162661930555554,1.7938864215061423,month_hour,3.4303201476190472
4,10,210,2.865693271428572,2.5623209433474976,5040,2.5162661930555554,1.7938864215061423,month_hour,2.865693271428572
4,11,210,2.481248414285714,2.3974917652546726,5040,2.5162661930555554,1.7938864215061423,month_hour,2.481248414285714
4,12,210,1.835334533333334,2.5887751956439575,5040,2.5162661930555554,1.7938864215061423,month_hour,1.835334533333334
4,13,210,1.6177123809523815,2.4554565953701424,5040,2.5162661930555554,1.7938864215061423,month_hour,1.6177123809523815
4,14,210,1.3281276142857144,2.7357478759402687,5040,2.5162661930555554,1.7938864215061423,month_hour,1.3281276142857144
4,15,210,1.2655942095238102,2.4530725784022787,5040,2.5162661930555554,1.7938864215061423,month_hour,1.2655942095238102
4,16,210,1.2279037095238092,2.3931412483401613,5040,2.5162661930555554,1.7938864215061423,month_hour,1.2279037095238092
4,17,210,1.5282807761904762,1.7650064401683911,5040,2.5162661930555554,1.7938864215061423,month_hour,1.5282807761904762
4,18,210,1.6626940809523814,1.5571535199711444,5040,2.5162661930555554,1.7938864215061423,month_hour,1.6626940809523814
4,19,210,2.6161524476190476,2.5351326638441773,5040,2.5162661930555554,1.7938864215061423,month_hour,2.6161524476190476
4,20,210,4.110708138095238,3.1620963361692973,5040,2.5162661930555554,1.7938864215061423,month_hour,4.110708138095238
4,21,210,3.6247431571428574,3.019948520726916,5040,2.5162661930555554,1.7938864215061423,month_hour,3.6247431571428574
4,22,210,3.219370047619048,2.642590533546677,5040,2.5162661930555554,1.7938864215061423,month_hour,3.219370047619048
4,23,210,2.6709368666666666,2.372071849628843,5040,2.5162661930555554,1.7938864215061423,month_hour,2.6709368666666666
5,0,216,1.2825409814814808,2.7527043063237793,5184,1.268546993441358,1.7938864215061423,month_hour,1.2825409814814808
5,1,216,1.3039974490740744,2.4938424563450123,5184,1.268546993441358,1.7938864215061423,month_hour,1.3039974490740744
5,2,216,1.556718393518519,2.3553372247838618,5184,1.268546993441358,1.7938864215061423,month_hour,1.556718393518519
5,3,216,1.6319304490740745,2.2527545525819823,5184,1.268546993441358,1.7938864215061423,month_hour,1.6319304490740745
5,4,216,1.7086016620370372,2.2428720355490266,5184,1.268546993441358,1.7938864215061423,month_hour,1.7086016620370372
5,5,216,1.095864962962963,2.2002568911963447,5184,1.268546993441358,1.7938864215061423,month_hour,1.095864962962963
5,6,216,1.79205849537037,2.002022132917857,5184,1.268546993441358,1.7938864215061423,month_hour,1.79205849537037
5,7,216,2.388279152777778,1.9753608950001833,5184,1.268546993441358,1.7938864215061423,month_hour,2.388279152777778
5,8,216,2.8294258194444444,2.3707590186262686,5184,1.268546993441358,1.7938864215061423,month_hour,2.8294258194444444
5,9,216,2.723755939814814,2.3599023517698927,5184,1.268546993441358,1.7938864215061423,month_hour,2.723755939814814
5,10,216,2.130871189814815,2.584721109659054,5184,1.268546993441358,1.7938864215061423,month_hour,2.130871189814815
5,11,216,1.681726560185185,2.2762064037253134,5184,1.268546993441358,1.7938864215061423,month_hour,1.681726560185185
5,12,216,0.8750880601851857,2.3754800093703063,5184,1.268546993441358,1.7938864215061423,month_hour,0.8750880601851857
5,13,216,0.3679304675925917,2.1771876360399767,5184,1.268546993441358,1.7938864215061423,month_hour,0.3679304675925917
5,14,216,-0.28385661111111143,2.460009568458318,5184,1.268546993441358,1.7938864215061423,month_hour,-0.28385661111111143
5,15,216,-0.5529496527777777,2.4150526911377868,5184,1.268546993441358,1.7938864215061423,month_hour,-0.5529496527777777
5,16,216,-0.5388042268518523,2.4598502197146654,5184,1.268546993441358,1.7938864215061423,month_hour,-0.5388042268518523
5,17,216,0.3865957638888891,1.9895157581770393,5184,1.268546993441358,1.7938864215061423,month_hour,0.3865957638888891
5,18,216,0.5648178657407404,1.8219634208419933,5184,1.268546993441358,1.7938864215061423,month_hour,0.5648178657407404
5,19,216,0.7429754953703704,2.2404913930670545,5184,1.268546993441358,1.7938864215061423,month_hour,0.7429754953703704
5,20,216,1.7053427916666666,3.0932398336630555,5184,1.268546993441358,1.7938864215061423,month_hour,1.7053427916666666
5,21,216,1.9761553935185185,3.324977672002044,5184,1.268546993441358,1.7938864215061423,month_hour,1.9761553935185185
5,22,216,1.775854074074074,3.236067417740789,5184,1.268546993441358,1.7938864215061423,month_hour,1.775854074074074
5,23,216,1.3002073657407411,2.9506103270236896,5184,1.268546993441358,1.7938864215061423,month_hour,1.3002073657407411
6,0,180,1.7816886500000004,2.7037906178748,4320,1.266508094675926,1.7938864215061423,month_hour,1.7816886500000004
6,1,180,1.6081880333333332,2.5105863644342765,4320,1.266508094675926,1.7938864215061423,month_hour,1.6081880333333332
6,2,180,1.7447212666666667,2.4402282737643675,4320,1.266508094675926,1.7938864215061423,month_hour,1.7447212666666667
