Stage,ForecastColumn,Replay_Horizon_Bucket,Season,DailyMaxTempBucket,HourGroup,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
residual_calibrated,Residual_Calibrated_Forecast_MWH,Day1,Spring,3.0,Midday,4,144.71675,151.23803900445043,-6.521289004450431,6.521289004450431,4.587196999597092,0.0,7.248343985421116,-5.251483756374057,7.273341053529094,6.571849437193468
residual_calibrated,Residual_Calibrated_Forecast_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,148.12887348366928,-4.364373483669269,4.364373483669269,3.077347185388739,0.0,4.840361836749773,-3.7693880423186386,4.959358925019899,4.404743304708531
residual_calibrated,Residual_Calibrated_Forecast_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,183.87882735822728,-4.14862735822727,4.14862735822727,2.315432400206568,0.0,5.0353746706513105,-2.9065366646257473,5.612386118449365,4.237277343368946
warm_ramp_adjusted,Warm_Ramp_Adjusted_Forecast_MWH,Day1,Spring,3.0,Midday,4,144.71675,152.75707288042182,-8.040322880421819,8.040322880421819,5.645624149232243,0.0,8.780085222567237,-6.730324547022178,8.813651657298493,8.08322913032126
warm_ramp_adjusted,Warm_Ramp_Adjusted_Forecast_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,185.17614669658286,-5.4459466965828485,5.4459466965828485,3.0394565102698197,0.0,6.611024516075434,-3.8728849504830976,7.308033077677663,5.557708965009278
warm_ramp_adjusted,Warm_Ramp_Adjusted_Forecast_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,148.55579677517684,-4.791296775176846,4.791296775176846,3.3575188822624,0.0,4.957624802814638,-4.5833867406296065,4.999206809724086,4.795805601803046
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Day1,Spring,3.0,Midday,4,144.71675,152.7091266077312,-7.992376607731217,7.992376607731217,5.608493051405605,0.0,8.722549695338515,-6.730324547022178,8.813651657298493,8.03202056136757
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,185.17614669658286,-5.4459466965828485,5.4459466965828485,3.0394565102698197,0.0,6.611024516075434,-3.8728849504830976,7.308033077677663,5.557708965009278
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,148.55579677517684,-4.791296775176846,4.791296775176846,3.3575188822624,0.0,4.957624802814638,-4.5833867406296065,4.999206809724086,4.795805601803046
peak_risk_adjusted,Peak_Risk_Adjusted_Forecast_MWH,Day1,Spring,3.0,Midday,4,144.71675,152.7091266077312,-7.992376607731217,7.992376607731217,5.608493051405605,0.0,8.722549695338515,-6.730324547022178,8.813651657298493,8.03202056136757
