Stage,ForecastColumn,Replay_Horizon_Bucket,CloudCoverBucket,SolarLossBucket,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,None,13,3,196.61096933333332,191.48665364583334,5.124315687500001,12.118800062499995,5.569388749481397,66.66666666666666,22.53960820312499,25.551578613281237,10.491726562499991,15.948432779632007
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,Extreme,12,2,216.5454415,205.0874481201172,11.457993379882822,11.457993379882822,4.863008730791109,100.0,17.340424105664074,18.811031787109386,0.0,13.614433007348765
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,High,12,2,190.32982900000002,201.57557678222656,-11.245747782226559,11.245747782226559,5.667254508078746,0.0,14.810346105664056,-6.789999877929688,15.70149568652343,12.096302433723272
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,None,15,2,253.653179,244.0474395751953,9.605739424804682,11.163568184570323,5.361871034065602,50.0,18.848159724414067,20.769307609375005,1.5578287597656413,14.727371948477357
xgb_component,XGB_Pred_MWH,Days2to7,Partly Cloudy,High,11,2,199.42200000000003,188.322509765625,11.099490234375011,11.099490234375011,5.892008251381145,100.0,19.539873535156264,21.649969360351577,0.0,15.313761564379062
xgb_component,XGB_Pred_MWH,Days8to16,Clear/Low,High,10,2,144.765283,149.99778747558594,-5.232504475585934,10.94458870410157,8.351443104306279,50.0,15.130592284570316,5.712084228515636,16.177093179687503,12.131080948908656
xgb_component,XGB_Pred_MWH,Day1,Mostly Cloudy,High,11,1,144.303925,133.60910034179688,10.694824658203117,10.694824658203117,7.411319309716016,100.0,10.694824658203117,10.694824658203117,0.0,10.694824658203117
xgb_component,XGB_Pred_MWH,Days8to16,Some Clouds,Extreme,11,4,155.94599975,159.13423538208008,-3.188235632080083,10.539608288330076,7.358935738182834,50.0,15.513997419824221,9.074765380859361,18.193227668945312,11.51968127031127
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,Low,14,1,131.52365,142.05621337890625,-10.532563378906246,10.532563378906246,8.008113657814581,0.0,10.532563378906246,-10.532563378906246,10.532563378906246,10.532563378906246
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,Extreme,10,5,160.791013,164.53922119140626,-3.7482081914062464,10.457525304296876,6.155047630453053,20.0,15.960836925585943,16.773292782226576,14.742153140624993,12.120635584576943
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,Extreme,12,3,147.300058,156.4667205810547,-9.16666258105469,10.17105245735678,6.368859197053752,33.33333333333333,20.481878637109386,1.5065848144531344,24.46760687597657,14.393699935499422
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,Extreme,11,10,185.1149496,192.21026153564452,-7.095311935644529,10.070733486816405,5.544497253596355,20.0,19.106858785156238,10.090560156250007,32.5060076328125,13.768035027608759
xgb_component,XGB_Pred_MWH,Days8to16,Clear/Low,High,13,1,204.430691,194.71163940429688,9.719051595703121,9.719051595703121,4.754203758819718,100.0,9.719051595703121,9.719051595703121,0.0,9.719051595703121
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,Low,13,4,232.99974749999998,237.04779815673828,-4.04805065673829,9.236716546386724,4.220521772778185,25.0,12.674315578710926,10.377331779296867,13.658737207031237,9.766971026907243
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,None,13,2,222.65024549999998,222.17871856689453,0.4715269331054657,9.174547074707036,4.136419824491379,50.0,9.551768621191409,9.646074007812501,8.70302014160157,9.186656174836374
