Slice,SliceGroup,SliceValue,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,ForecastColumn,Model,MAE_Improvement_vs_Raw_MWH,Skill_vs_Raw_PCT,Bias_Abs_Improvement_vs_Raw_MWH,MAE_Delta_vs_Final_MWH
ScoredSeason:Winter,Season,Winter,839,127.96207823003574,122.73336219461666,5.228716035419094,5.719700837577384,7.291609551043003,4.335503565443897,91.29916567342073,11.336729070823539,24.57606884059544,8.587970366366747,169.004908,154.18277625138037,14.822131748619626,Raw_Forecast_MWH,raw_xgb_lgb_production,0.0,0.0,0.0,2.2828048487191674
ScoredSeason:Winter,Season,Winter,839,127.96207823003574,122.72675192277902,5.235326307256744,5.722991457592601,7.309812821013794,4.334198711128005,90.94159713945173,11.275598836418244,24.935373447968033,8.438666772876402,169.004908,153.8487467208034,15.156161279196596,LGB_Pred_MWH,lgb_component,-0.0032906200152167386,-0.057531330897552704,-0.006610271837650394,2.286095468734384
ScoredSeason:Winter,Season,Winter,839,127.96207823003574,122.73732835771926,5.22474987231649,5.723810873876198,7.290685343264676,4.341369551931815,91.53754469606675,11.235896640625016,24.360486076171867,8.677552522460942,169.004908,154.38319396972656,14.621714030273438,XGB_Pred_MWH,xgb_component,-0.004110036298814457,-0.0718575396778145,0.003966163102603559,2.286914885017982
ScoredSeason:Winter,Season,Winter,839,127.96207823003574,128.23427772348032,-0.2721994934445768,6.469300823599523,9.777639864928588,5.042906957157681,46.00715137067938,16.572295400000023,50.669974999999994,41.295591,169.004908,166.902833,2.1020750000000135,Baseline_SameHourYesterday_MWH,baseline_same_hour_yesterday,-0.7495999860221394,-13.105580297091853,4.956516541974517,3.032404834741307
ScoredSeason:Winter,Season,Winter,839,127.96207823003574,128.8021413873659,-0.840063157330155,8.890749582325897,11.430215788215015,7.00226569844378,43.98092967818832,18.496820685714315,42.67328214285713,33.96398085714286,169.004908,152.63680557142857,16.368102428571433,Baseline_Rolling7DaySameHourAvg_MWH,baseline_rolling_7day_same_hour_avg,-3.1710487447485134,-55.440814734842526,4.388652878088939,5.453853593467681
ScoredSeason:Winter,Season,Winter,839,127.96207823003574,129.02460055184744,-1.0625223218116808,11.11152169249106,14.13355748045241,8.752587444942066,48.033373063170444,23.931293200000013,41.706575,43.586200000000005,169.004908,153.402758,15.602149999999995,Baseline_SameHour7DaysAgo_MWH,baseline_same_hour_7_days_ago,-5.391820854913676,-94.26753265643552,4.166193713607413,7.674625703632843
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,122.41110505844391,1.6914457992584258,3.79304835824552,5.372429550544694,2.9689068228760798,69.71279373368147,8.31041887260124,20.808750419490366,23.538585602298127,166.374308,162.19751338433022,4.176794615669792,Final_Backtest_Forecast_MWH,final_corrected_production,2.116193705350808,35.81159279948173,3.4329559606571465,0.0
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,122.41110505844391,1.6914457992584258,3.79304835824552,5.372429550544694,2.9689068228760798,69.71279373368147,8.31041887260124,20.808750419490366,23.538585602298127,166.374308,162.19751338433022,4.176794615669792,Recent_Corrected_Forecast_MWH,recent_corrected_simulation,2.116193705350808,35.81159279948173,3.4329559606571465,0.0
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,121.89508528160954,2.207465576092809,4.038838444594589,5.55060425583427,3.1667231760158407,75.19582245430809,8.4763012432565,21.22648394812481,23.13509444723448,166.374308,161.7177943586047,4.656513641395321,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,1.8704036190017392,31.652174659154564,2.916936183822763,0.24579008634906874
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,121.89508528160954,2.207465576092809,4.038838444594589,5.55060425583427,3.1667231760158407,75.19582245430809,8.4763012432565,21.22648394812481,23.13509444723448,166.374308,161.7177943586047,4.656513641395321,Peak_Risk_Adjusted_Forecast_MWH,peak_risk_adjusted,1.8704036190017392,31.652174659154564,2.916936183822763,0.24579008634906874
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,121.80361247735557,2.2989383803467835,4.046464469347853,5.602838922686183,3.169190594892256,75.58746736292427,8.353232768029194,22.72297203776907,23.13509444723448,166.374308,161.7177943586047,4.656513641395321,Warm_Ramp_Adjusted_Forecast_MWH,warm_ramp_adjusted,1.8627775942484748,31.523122156799914,2.8254633795687885,0.2534161111023332
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,121.6740139443903,2.4285369133120627,4.122282676219667,5.6635238291276275,3.221005853103321,76.2402088772846,8.479110158513592,22.72297203776907,23.13509444723448,166.374308,159.25842593422738,7.115882065772638,Residual_Calibrated_Forecast_MWH,residual_calibrated,1.786959387376661,30.240077630008756,2.6958648466035093,0.32923431797414704
